time,lat,lon,elevation,accuracy,bearing,speed
2015-08-27T11:10:59Z,51.651644,14.242077,113.699997,9.000000,21.900000,26.500000
2015-08-27T11:11:00Z,51.651854,14.242230,114.500000,10.000000,21.700001,26.500000
2015-08-27T11:11:01Z,51.652075,14.242356,114.099998,8.000000,21.400000,26.500000
2015-08-27T11:11:02Z,51.652309,14.242469,114.500000,7.000000,20.900000,26.250000
2015-08-27T11:11:03Z,51.652546,14.242575,115.699997,7.000000,20.100000,26.250000
2015-08-27T11:11:04Z,51.652802,14.242705,121.199997,7.000000,19.400000,26.500000
2015-08-27T11:11:05Z,51.652989,14.242858,121.300003,7.000000,20.100000,26.000000
2015-08-27T11:11:06Z,51.653219,14.242918,120.800003,7.000000,18.000000,26.000000
2015-08-27T11:11:07Z,51.653454,14.243002,120.199997,6.000000,16.299999,26.250000
2015-08-27T11:11:08Z,51.653715,14.243026,119.900002,4.000000,11.900000,27.250000
2015-08-27T11:11:09Z,51.653968,14.243110,121.400002,4.000000,9.600000,27.500000
2015-08-27T11:11:10Z,51.654213,14.243177,121.099998,5.000000,8.700000,27.250000
2015-08-27T11:11:11Z,51.654472,14.243210,123.000000,5.000000,7.400000,27.250000
2015-08-27T11:11:12Z,51.654711,14.243257,124.199997,5.000000,6.900000,27.250000
2015-08-27T11:11:13Z,51.654961,14.243301,124.699997,5.000000,5.400000,27.250000
2015-08-27T11:11:14Z,51.655226,14.243278,126.400002,4.000000,1.100000,27.750000
2015-08-27T11:11:15Z,51.655481,14.243269,127.199997,4.000000,359.700012,27.500000
2015-08-27T11:11:16Z,51.655737,14.243255,126.699997,5.000000,358.500000,27.750000
2015-08-27T11:11:17Z,51.655981,14.243234,127.500000,5.000000,356.899994,27.750000
2015-08-27T11:11:18Z,51.656253,14.243205,127.599998,5.000000,356.399994,28.000000
2015-08-27T11:11:19Z,51.656514,14.243172,127.400002,6.000000,356.000000,28.250000
2015-08-27T11:11:20Z,51.656765,14.243098,128.000000,6.000000,353.500000,28.250000
2015-08-27T11:11:21Z,51.657037,14.243014,127.199997,6.000000,351.100006,28.750000
2015-08-27T11:11:22Z,51.657307,14.242941,127.300003,7.000000,350.399994,29.000000
2015-08-27T11:11:23Z,51.657539,14.242836,127.099998,5.000000,347.799988,28.750000
2015-08-27T11:11:24Z,51.657782,14.242742,127.500000,5.000000,346.799988,29.000000
2015-08-27T11:11:25Z,51.658027,14.242629,127.699997,4.000000,346.000000,29.000000
2015-08-27T11:11:26Z,51.658269,14.242522,127.400002,4.000000,345.299988,29.250000
2015-08-27T11:11:27Z,51.658522,14.242407,127.699997,4.000000,345.100006,29.250000
2015-08-27T11:11:28Z,51.658774,14.242304,127.099998,4.000000,345.100006,29.000000
2015-08-27T11:11:29Z,51.659031,14.242198,127.000000,4.000000,345.100006,29.250000
